# Smallest time delta is   9.536743164062500E-007
#   Size  Iter     FILL      COPY     DAXPY       DOT
 Smallest time delta is   9.536743164062500E-007
     Size  Iter     FILL      COPY     DAXPY       DOT
       30   100   1339.1   84653.0  102351.8   24806.8       5.3
       36   100   2315.7   89270.1  111600.0   28205.9       7.7
       44   100   3227.4   99236.7  113359.5   30886.6       8.7
       53   100   2185.2  100952.6  116947.3   33739.7       4.9
       63   100   2812.7  104246.7  108356.5   31480.6       5.3
       77   100   3273.7  106521.9  119092.8   34516.5       5.1
       92   100   5168.0  109609.6  118951.5   32956.9       6.7
      111   100   4923.1  111107.3  114846.8   36822.4       5.3
      134   100   5339.5  112880.0  118808.8   36615.6       4.8
      162   100  10638.5  112691.7  107977.3   36511.4       7.8
      195   100  10645.0  115302.7  113610.9   37359.0       6.5
      235   100  11594.3  117888.1  120444.7   37914.0       5.9
      284   100   9318.4  118983.1  127457.6   37758.6       3.9
      342   100   8744.9  119881.5  128674.3   39064.9       3.0
      413   100   9326.3  120533.9  132405.0   38673.0       2.7
      498   100  12403.3  114518.4  128682.2   37081.2       3.0
      601   100  13462.3  115099.6  139701.1   38715.2       2.7
      725   100  11137.0  116150.5  140585.0   39973.7       1.8
      874   100  13918.1  118288.6  145027.1   39821.5       1.9
     1054   100  12317.9  119408.7  145675.2   39533.2       1.4
     1271   100  12683.1  119618.8  151938.4   39872.9       1.2
     1533   100  13039.7  121013.7  150453.1   40025.1       1.0
     1848   100  14569.7  120943.3  157311.4   39966.2       0.9
     2229   100  13654.0   59954.6   73995.4   39493.3       0.7
     2688   100  14780.7   55792.6   65799.5   37100.0       0.7
     3242   100  14881.8   56594.9   65890.0   37206.7       0.5
     3910   100  14348.4   56180.6   65845.6   39480.9       0.4
     4715   100  14961.7   56122.7   65808.4   37344.8       0.4
     5687   100  14518.3   56059.1   65684.3   37451.0       0.3
     6858   100  15073.9   55864.2   65720.7   39615.5       0.3
     8271   100  14788.9   55969.3   65902.8   37511.2       0.2
     9975   100  14870.0   55703.2   65889.5   37622.1       0.2
    12030   100  14945.4   55321.0   64461.3   37413.5       0.1
    14508   100  14977.9   54888.1   62586.3   38809.1       0.1
    17497   100  15176.8   53910.3   58633.0   35676.8       0.1
    21101   100  15049.3   51837.3   54538.0   34272.8       0.1
    25448   100  15184.2   49976.2   48999.0   35494.1       0.1
    30691   100  15192.5   48183.0   47950.0   34248.3       0.1
    37013   100  15113.3   46581.2   47240.2   33948.5       0.0
    44638   100  15134.5   45180.3   46740.7   33941.3       0.0
    53833   100  15184.5   43682.6   46726.5   34638.2       0.0
    64923   100  15174.8   42673.6   46730.4   33960.1       0.0
    78297   100  15162.1   41760.3   46729.1   33895.2       0.0
    94427   100  15153.1   40883.2   46731.1   35056.5       0.0
   113879   100  15111.9   40186.3   46713.3   34941.9       0.0
   137338   100  15231.4   39480.3   46651.4   33880.3       0.0
   165630   100  15080.0   38830.5   46539.7   33669.8       0.0
   199751   100  15055.1   38251.0   46389.7   33433.3       0.0
   240900   100  15005.5   37645.8   45954.8   33518.8       0.0
   290526   100  14905.9   36648.3   45712.3   34507.7       0.0
   350375   100  14717.5   35484.4   45302.3   33011.6       0.0
   422553   100  14762.5   33523.4   44369.5   33431.2       0.0
   509600   100  14740.8   28635.3   40251.8   29961.3       0.0
   614579   100  14751.0   23028.3   34584.3   25991.2       0.0
   741184   100  14904.7   18745.8   27365.8   21577.3       0.0
   893870   100  14751.4   16674.5   22901.5   19405.3       0.0
  1078009   100  15130.5   15169.6   21149.1   18302.6       0.0
  1300082   100  15073.8   14739.3   20801.7   17692.4       0.0
  1567902   100  15094.0   14522.1   20545.5   17283.2       0.0
  1890893   100  14467.6   14612.6   20483.6   18067.3       0.0
  2280422   100  15101.3   14947.9   20551.0   17359.0       0.0
  2750195   100  15123.1   14992.9   20505.4   17357.5       0.0
  3316743   100  14538.4   14995.8   20617.2   17624.7       0.0
  4000000   100  14505.3   15045.1   20517.4   17797.2       0.0

