# Intel v.16, -O3 -fast
# Smallest time delta is   9.536743164062500E-007
#     Size  Iter           FILL               COPY                DAXPY                  DOT
#                  Min    Avg   Max    Min    Avg    Max    Min    Avg   Max     Min    Avg    Max
       30   200   0.79   1.25   1.27  34.45  81.65  84.55  50.50  95.80  99.37  11.94  24.44  25.14
       36   200   2.67   2.71   2.71  72.88  88.40  89.27 103.78 110.13 111.63  26.77  27.96  28.17
       44   200   3.26   3.30   3.37  78.91  94.54  99.35 100.41 108.28 113.87  27.68  29.37  30.86
       53   200   2.24   2.24   2.24  83.89  94.62  95.66 102.77 110.31 111.38  29.75  31.05  31.29
       63   200   2.61   2.66   2.68  96.94 101.58 104.25  93.10 102.07 104.80  29.45  31.27  31.73
       77   200   3.36   3.40   3.44  97.72 103.02 106.48 104.48 115.47 119.41  32.16  33.50  34.63
       92   200   5.01   5.07   5.07 102.38 103.32 104.08 102.90 111.17 112.95  30.40  31.35  31.43
      111   200   4.58   4.61   4.71 104.04 105.47 110.15  98.88 106.33 111.88  33.07  34.96  36.89
      134   200   5.53   5.62   5.63 105.27 112.11 113.07 110.62 116.65 117.77  35.63  36.55  36.80
      162   200  10.56  10.82  10.84 104.20 109.43 110.37 101.91 107.07 118.22  35.16  36.32  36.55
      195   200  10.61  10.89  10.92 106.31 114.23 115.10 104.12 110.91 112.69  35.83  37.10  37.30
      235   200  11.19  11.53  11.82 110.37 114.30 117.68 102.56 112.54 117.22  35.18  36.90  38.10
      284   200   9.09   9.15   9.18 110.92 112.08 112.69 108.09 117.47 121.24  33.97  35.70  35.81
      342   200   8.35   8.37   8.38 110.32 111.94 112.87 112.65 122.33 125.78  36.67  37.03  37.17
      413   200   9.26   9.27   9.28 112.88 113.91 114.52 120.59 127.94 132.93  34.67  36.52  36.64
      498   200  12.51  12.54  12.56 113.26 113.89 114.52 121.02 127.69 129.55  36.97  37.12  37.27
      601   200  12.74  13.13  13.48 107.36 111.52 115.10 122.45 137.15 146.35  34.82  37.81  38.91
      725   200  11.08  11.45  11.48 107.03 115.04 115.75 130.81 143.94 149.35  37.69  39.58  39.80
      874   200  13.73  14.09  14.13 111.65 117.56 118.50 119.82 142.84 146.35  38.23  39.48  39.79
     1054   200  12.23  12.44  12.47 111.66 118.70 119.41 130.81 144.45 147.49  37.67  39.48  39.63
     1271   200  12.21  12.25  12.88 108.10 111.58 118.09 124.35 135.91 143.49  37.58  37.90  40.00
     1533   200  12.46  12.50  12.52 111.47 113.98 114.70 129.54 138.92 143.48  35.57  37.67  37.78
     1848   200  13.81  13.87  13.89 113.24 114.01 114.69 126.47 141.21 154.30  37.70  37.98  38.11
     2229   200  13.06  13.25  13.66  53.73  56.16  60.30  67.87  70.64  73.94  35.80  36.60  38.11
     2688   200  14.46  14.80  14.82  51.20  55.64  57.49  63.24  65.51  65.93  36.24  37.24  37.43
     3242   200  14.54  14.88  14.90  51.29  55.60  57.05  63.20  65.29  66.12  36.13  37.44  37.65
     3910   200  13.92  14.34  14.37  52.46  55.50  56.83  63.03  65.43  65.88  36.55  37.60  37.82
     4715   200  14.60  15.04  15.07  50.90  55.18  56.51  63.38  65.29  65.95  36.60  37.53  37.70
     5687   200  13.86  14.01  14.57  50.53  52.88  55.97  60.85  62.61  65.91  35.48  36.07  37.83
     6858   200  14.24  14.32  14.33  48.94  52.51  53.09  60.66  61.86  62.52  35.56  35.78  35.90
     8271   200  14.01  14.05  14.07  47.92  52.46  52.92  60.68  61.83  62.26  35.67  35.84  35.97
     9975   200  14.08  14.13  14.15  47.23  52.14  52.50  57.94  59.07  59.52  33.99  34.39  34.74
    12030   200  13.74  14.71  14.97  46.47  53.38  54.67  55.09  58.63  59.87  30.21  35.12  35.98
    14508   200  14.01  14.84  15.04  46.87  53.37  53.87  53.70  57.52  57.89  33.84  36.02  36.27
    17497   200  14.79  15.15  15.18  45.79  51.97  52.32  53.31  54.95  55.18  34.69  35.49  35.62
    21101   200  14.26  14.62  15.05  45.03  49.75  51.50  51.38  52.71  54.45  33.48  34.37  35.49
    25448   200  14.38  15.16  15.18  44.96  49.61  49.86  50.12  51.62  51.86  33.34  34.85  35.04
    30691   200  14.87  15.17  15.20  43.28  48.07  48.32  48.00  49.02  49.21  33.01  34.15  34.28
    37013   200  14.51  15.07  15.11  42.58  46.38  46.69  45.30  47.02  47.12  32.92  33.71  33.86
    44638   200  14.53  15.11  15.13  41.76  44.75  44.96  45.44  46.66  46.74  32.61  33.74  33.87
    53833   200  14.59  15.17  15.19  40.88  43.44  43.63  44.62  46.64  46.73  32.97  33.73  33.87
    64923   200  14.78  15.15  15.18  40.51  42.44  42.64  45.59  46.65  46.73  32.92  33.73  33.89
    78297   200  14.38  14.56  15.18  39.36  39.94  41.73  44.24  44.81  46.71  31.99  32.42  33.88
    94427   200  14.35  14.67  15.17  37.57  39.47  40.89  44.05  45.16  46.70  31.98  32.69  33.86
   113879   200  14.82  15.11  15.13  38.88  40.04  40.19  45.23  46.64  46.71  32.99  33.75  33.88
   137338   200  14.64  15.10  15.13  37.86  39.32  39.50  45.47  46.57  46.65  32.33  33.64  33.79
   165630   200  14.58  15.06  15.23  36.53  38.69  38.83  44.73  46.47  46.54  32.75  33.48  33.60
   199751   200  14.73  15.03  15.06  36.57  38.12  38.25  45.33  46.33  46.39  32.56  33.35  33.48
   240900   200  14.20  14.74  15.22  34.98  36.89  37.65  43.43  45.11  45.95  31.53  32.79  33.50
   290526   200  14.36  14.87  14.90  34.77  36.90  37.03  44.85  45.87  46.01  32.59  33.33  33.48
   350375   200  14.26  14.69  14.74  33.51  35.99  36.17  44.00  45.69  45.79  32.27  33.15  33.31
   422553   200  14.36  14.66  14.76  30.73  34.15  34.36  43.82  44.78  44.92  31.35  32.55  32.75
   509600   200  13.79  14.08  14.78  26.37  28.90  29.91  38.95  39.94  41.36  28.10  29.45  30.57
   614579   200  13.70  14.43  14.53  19.07  21.83  22.01  31.78  33.08  33.33  23.87  24.79  24.97
   741184   200  13.66  14.15  14.97  16.83  17.82  18.17  26.15  26.85  27.36  20.50  20.97  21.39
   893870   200  13.60  14.04  14.48  15.13  16.01  16.38  22.32  22.77  23.20  18.05  18.40  18.71
  1078009   200  13.97  14.34  15.09  14.51  15.14  15.24  20.99  21.31  21.43  17.12  17.40  17.53
  1300082   200  13.86  14.46  15.07  14.14  14.49  14.56  20.36  20.72  20.82  16.69  17.28  17.84
  1567902   200  13.47  13.94  15.08  13.78  14.08  14.37  19.98  20.34  20.74  16.91  17.21  17.56
  1890893   200  13.88  14.41  15.08  13.99  14.22  14.29  20.31  20.61  20.72  17.33  17.62  17.73
  2280422   200  13.45  14.00  15.10  14.11  14.53  14.64  20.22  20.63  20.80  16.48  17.01  17.14
  2750195   200  13.48  14.16  15.06  14.30  14.52  14.60  20.34  20.63  20.74  16.93  17.26  17.43
  3316743   200  13.53  14.20  15.11  13.99  14.43  14.58  20.01  20.53  20.73  16.98  17.42  17.58
  4000000   200  13.62  13.98  14.48  13.96  14.20  14.55  19.96  20.27  20.71  17.14  17.41  17.78
